id;hotel_name
b20630fd-f2e1-490c-87ce-3f46ad1e53ba;Samoa salmon CSS
460dc5f5-0d4b-46e4-b8b8-3d3019c9d834;Automotive Program Estonia
a4329379-ad5f-43d2-b844-662feb5c98d3;Configuration
394e400e-f99d-49c0-8371-d15ffbf980d8;Cotton payment robust
4e0a4abd-3dc7-4cfe-8ade-9f40a9671b07;Licensed
27e6c708-ebce-4a0d-8957-5f2ff5ae4a44;Loan
20eacc27-2fe4-45d9-ad1f-558de76bdfca;blue Account
b8d8dad8-59c6-47a0-892a-981d235d04b1;Soft cross-media
3d5c809b-058e-4895-829d-e68c4d7692c3;alliance
edd5a0c9-6fa0-446e-ad09-71a48852e6be;Garden
