id;booking_id;room_id;check_in_date;check_out_date;total_price
5f2842d1-64f7-4d75-a4d8-2c71f7aacafe;2ee8c5bb-b5d0-451e-b848-bb2ee7560fb1;f48e1ada-4dd9-4df9-9a35-d05338029fcd;2023-06-21;2023-06-22;89911
43397526-e1db-49e1-96fb-9092fb26980e;2c9045a8-2f06-4b48-9fc9-255c6f8ecd2c;3a51d976-0e35-478d-a280-7aeb37af2689;2023-06-22;2023-06-21;47545
c8f6bafa-83e9-4156-a33a-53c80c7fc6e2;f0762322-2736-4e78-9614-a380426ee6b0;04568b32-fd2c-4d35-83ee-6590b2b7c634;2023-06-22;2023-06-21;73363
c995f207-38eb-4db1-8392-d18c0de04d7e;86efe4c4-31bd-4edf-9268-eb80f8c9ce62;1ba4d612-2946-4eca-a225-67cad8861c00;2023-06-21;2023-06-22;8636
b8cf33c4-a19d-4752-b1a7-f3821a661d6a;71178f97-fd95-4682-b2c6-3220fb66d371;d69b5eb0-e068-45d4-afd7-d43b92d765ff;2023-06-22;2023-06-22;3958
a7f1a0b6-c4ef-4299-9aa2-5907ed16bc7b;f14e8e20-68b7-4685-ad07-b63dfc0b2d2a;3d55b7a0-a789-49ac-840f-758dd390d68c;2023-06-21;2023-06-22;89989
8a2fcf1a-4eda-45fc-b6e5-a5e4d8ab7861;64e0cbc1-e0e4-4122-8899-2a3055deee5a;24fdf9ac-ea4d-4361-9e47-40564243f332;2023-06-21;2023-06-22;97581
c2ff4b3f-d305-46fd-af26-f22955d71da0;36c3faf3-4af9-42e5-a4e1-d7d66611bf8c;03506176-bd92-48f6-9514-7aa7723c487b;2023-06-21;2023-06-22;80909
b98d5acc-e663-44e5-99f1-ef6f092eab3b;6463d4b0-a69d-4d52-81b6-5bec3dc44d85;1eb2a742-62e6-434f-a5a6-4004740c73fc;2023-06-21;2023-06-22;48195
2b5bcd4f-9e85-4389-9341-54792b20ceed;341e14a2-af87-4734-bc97-5b0e41d923ec;f31656ce-849d-496a-89fa-d0de37630357;2023-06-21;2023-06-22;74957
