id;payment_id;amount;payment_date
529856d2-c843-4912-8217-65ce8d3b0675;7c5c12bf-f80f-4ec3-815a-222224580aab;8762;2023-07-05T04:36:50
64e4a1bc-637b-4104-8837-675fe8ad448e;305584ee-b8ff-483c-8c3d-6a0bb96d2601;54932;2023-07-04T21:20:17
3795d18b-ffd8-408a-bd8a-759408fa2d80;a9fda4cb-0fcc-4dce-a784-a2679c440bcf;3721;2023-07-05T12:00:53
90ca137b-a8bb-4b95-903f-6a2169daff6d;8b3b9465-ec2e-4151-b3ce-b5a9c21a3229;94654;2023-07-05T10:09:52
d36aaa35-f4f3-4bf9-8818-fa402c7133e8;3a2dc9b7-8e78-4ad0-8873-549b1b2132be;97250;2023-07-04T18:39:58
24849342-b9d6-4c6d-bddd-7b5fbc38e564;7a3f4554-87ac-4044-9650-a48605d697f9;54947;2023-07-05T02:06:52
5e3c7563-0b5f-40ac-b8cf-1d7ce0b0ad14;16b9ae31-ff17-414d-bfb0-15fefd9a09d9;2149;2023-07-05T03:33:15
4001989c-24d4-4298-b14d-22ea81b11efe;e6cd45ec-eed2-4326-bb0f-c9c4ecc20c50;55197;2023-07-05T05:56:23
c14a8249-d8f6-475d-b082-13929292b3c3;71529c35-e760-4d29-b350-da98d939b902;14271;2023-07-05T00:09:11
0c0fadf4-da03-4f7d-b921-8883c8935fff;4fd133e9-98ff-4bd0-91ab-f7360a260a81;25359;2023-07-04T23:02:05
