id;start_time;end_time
3d099b6c-02eb-4007-8bff-6ef9882ee0c5;2023-06-21T22:39:28;2023-06-21T16:19:55
caf9a94a-79b9-4f24-925f-7bc8f5d05aad;2023-06-21T15:14:38;2023-06-21T16:07:54
057183c8-752d-482d-8986-4787b4d83b65;2023-06-22T00:57:26;2023-06-22T10:00:59
bcc950ad-bf95-44c2-8ae9-5d0b6d0355bf;2023-06-22T06:00:32;2023-06-22T05:21:29
f742bef0-e428-4b0b-b852-defa6035d323;2023-06-22T12:32:24;2023-06-22T00:42:27
d67b4436-3d1a-42ff-ab9a-77765f9fb91b;2023-06-22T09:43:15;2023-06-21T23:40:53
f62bed54-55ad-46fa-8fa8-c788e9c2243a;2023-06-21T20:21:50;2023-06-22T09:30:25
2df1cb4e-c1ea-4961-98d4-903f684635a0;2023-06-22T11:37:46;2023-06-21T18:39:40
923def3c-6cd8-45ed-bcce-70c6196d4292;2023-06-22T00:02:12;2023-06-22T13:57:31
ee91c723-b3f8-41d7-8889-7e67f26b87af;2023-06-22T05:08:52;2023-06-22T00:33:02
