id;start_date;end_date;report_number
5240e70a-9c6a-4a8f-94e0-76470c4a28c3;2023-06-09T16:10:24;2023-06-09T18:25:31;66084
240100dc-c2d3-4781-9295-d258ce4e4616;2023-06-10T12:27:53;2023-06-10T02:09:23;9359
d26f9715-95be-4ca3-a57f-33aac4c6536f;2023-06-10T01:10:13;2023-06-10T04:37:10;11359
99969b1f-926d-4561-b7b3-b3215b1fec3c;2023-06-09T22:46:55;2023-06-10T05:19:24;60499
70f1a0bb-52f2-4bd8-8a61-3c38a42ee7be;2023-06-10T09:30:55;2023-06-10T10:00:10;18620
482e6a83-bae3-440b-8b29-6411c32e4390;2023-06-10T08:09:53;2023-06-09T17:32:45;92206
bd82c137-7b22-414e-9cea-8dcfcd5c678e;2023-06-09T21:04:28;2023-06-10T10:31:02;41735
ba507148-9ac8-4d56-a637-36add6ad1e81;2023-06-10T10:03:37;2023-06-10T03:51:32;46380
c907b4f6-deba-462f-bfd1-d7c0ea456ed6;2023-06-10T05:25:08;2023-06-10T13:02:11;13396
bf26ae88-0ccf-4648-b828-571f8b375b8d;2023-06-09T18:19:39;2023-06-09T21:02:42;75070
